timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712160711214,19,Products/canonical.html-1,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,19,0,13
1712160711234,4,Products/success.txt-3,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1712160711238,5,Products/success.txt-2,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1712160711243,4,Products/canonical.html-5,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,4,0,0
1712160711247,8,Products/success.txt-7,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,8,0,0
1712160711255,5,Products/success.txt-6,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1712160711261,14,Products/-4,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: flipcart.com: Temporary failure in name resolution,Task 2 Thread 3-1,text,false,,2504,0,1,6,http://flipcart.com/,0,0,14
1712160711275,0,Products/favicon.ico-8,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: flipcart.com,Task 2 Thread 3-1,text,false,,2207,0,1,6,http://flipcart.com/favicon.ico,0,0,0
1712160711276,4,Products/canonical.html-9,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,4,0,0
1712160711280,4,Products/success.txt-10,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1712160711284,5,Products/success.txt-11,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1712160711289,4,Products/canonical.html-12,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,4,0,0
1712160711293,3,Products/success.txt-13,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,3,0,0
1712160711297,5,Products/success.txt-14,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1712160711302,5,Products/canonical.html-15,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,5,0,0
1712160711307,4,Products/success.txt-16,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1712160711311,4,Products/success.txt-17,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1712160711315,5,Products/canonical.html-18,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,5,0,0
1712160711320,4,Products/success.txt-20,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1712160711324,4,Products/success.txt-19,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1712160711328,4,Products/canonical.html-21,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,4,0,0
1712160711332,4,Products/success.txt-23,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1712160711336,4,Products/success.txt-22,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1712160711340,4,Products/canonical.html-24,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,4,0,0
1712160711345,4,Products/success.txt-26,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1712160711349,6,Products/success.txt-25,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,6,0,0
1712160711355,6,Products/canonical.html-27,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,6,0,0
1712160711361,5,Products/success.txt-29,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1712160711366,5,Products/success.txt-28,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1712160711371,11,Products/canonical.html-30,200,OK,Task 2 Thread 3-1,text,true,,298,141,1,6,http://detectportal.firefox.com/canonical.html,11,0,0
1712160711383,4,Products/success.txt-31,200,OK,Task 2 Thread 3-1,text,true,,216,143,1,6,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
